company_name,company_industry,company_status,file_name
Školska knjiga,Consumer services,Zagreb,MalPatSaj_wikipedia
Sljeme,Consumer goods,Zagreb,MalPatSaj_wikipedia
Splitska banka,Financials,Split,MalPatSaj_wikipedia
Suzy,Consumer services,Zagreb,MalPatSaj_wikipedia
Tehnika,Industrials,Zagreb,MalPatSaj_wikipedia
Tomato,Telecommunications,Zagreb,MalPatSaj_wikipedia
TOZ Penkala,Consumer goods,Zagreb,MalPatSaj_wikipedia
Trade Air,Consumer services,Zagreb,MalPatSaj_wikipedia
TŽV Gredelj,Industrials,Zagreb,MalPatSaj_wikipedia
Uljanik,Industrials,Pula,MalPatSaj_wikipedia
V.B.Z.,Consumer services,Zagreb,MalPatSaj_wikipedia
Viadukt,Industrials,Zagreb,MalPatSaj_wikipedia
Viktor Lenac Shipyard,Industrials,Rijeka,MalPatSaj_wikipedia
Vindija,Consumer goods,Varaždin,MalPatSaj_wikipedia
Viro,Consumer goods,Virovitica,MalPatSaj_wikipedia
Zagreb Film,Consumer services,Zagreb,MalPatSaj_wikipedia
Zagreb Stock Exchange,Financials,Zagreb,MalPatSaj_wikipedia
Zagrebačka banka,Financials,Zagreb,MalPatSaj_wikipedia
Zagrebačka pivovara,Consumer goods,Zagreb,MalPatSaj_wikipedia
Zagrebački električni tramvaj,Industrials,Zagreb,MalPatSaj_wikipedia
AC Omonia,Consumer services,Nicosia,MalPatSaj_wikipedia
AEK Larnaca FC,Consumer services,Larnaca,MalPatSaj_wikipedia
AEL F.C.,Consumer services,Limassol,MalPatSaj_wikipedia
Allbiz,Industrials,Nicosia[8],MalPatSaj_wikipedia
Anorthosis F.C.,Consumer services,Larnaca,MalPatSaj_wikipedia
APOEL B.C.,Consumer services,Nicosia,MalPatSaj_wikipedia
APOEL FC,Consumer services,Nicosia,MalPatSaj_wikipedia
APOEL V.C.,Consumer services,Nicosia,MalPatSaj_wikipedia
Apollon Limassol,Consumer services,Limassol,MalPatSaj_wikipedia
Armida Publications,Consumer services,Nicosia,MalPatSaj_wikipedia
ASBIS,Technology,Limassol,MalPatSaj_wikipedia
Austrian Lloyd Ship Management,Industrials,Limassol,MalPatSaj_wikipedia
Bank of Cyprus,Financials,Nicosia,MalPatSaj_wikipedia
Celestyal Cruises,Consumer services,Limassol,MalPatSaj_wikipedia
Central Bank of Cyprus,Financials,Nicosia,MalPatSaj_wikipedia
Charlie Airlines,Consumer services,Larnaca,MalPatSaj_wikipedia
Cyprus Broadcasting Corporation,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus Civil Aviation Authority,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus College,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus College of Art,Consumer services,Paphos,MalPatSaj_wikipedia
Cyprus Development Bank,Financials,Nicosia,MalPatSaj_wikipedia
Cyprus Institute of Marketing,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus Int. Instit. for Environ. & Public Health,Technology,Limassol,MalPatSaj_wikipedia
Cyprus Internet Exchange,Telecommunications,Nicosia,MalPatSaj_wikipedia
Cyprus Mail,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus Mines Corporation,Basic materials,Nicosia,MalPatSaj_wikipedia
Cyprus Neuroscience and Technology Institute,Technology,Nicosia,MalPatSaj_wikipedia
Cyprus News Agency,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus Ports Authority,Consumer services,Nicosia,MalPatSaj_wikipedia
Cyprus Postal Services,Industrials,Nicosia,MalPatSaj_wikipedia
Cyprus State Fairs Authority,Consumer services,Nicosia,MalPatSaj_wikipedia
