company_name,industry,sector,headquarters,file_name
Play,Telecommunications,Mobile telecommunications,Warsaw,MalPatSaj_wikipedia
Plus,Telecommunications,Mobile telecommunications,Warsaw,MalPatSaj_wikipedia
Poczta Polska,Consumer services,Delivery services,Warsaw,MalPatSaj_wikipedia
Polcast Television,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
Polish State Railways,Industrials,Railroads,Warsaw,MalPatSaj_wikipedia
Polsat,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
Polska Grupa Energetyczna,Utilities,Conventional electricity,Warsaw,MalPatSaj_wikipedia
Polsteam,Industrials,Delivery services,Szczecin,MalPatSaj_wikipedia
PKO BP,Financials,Banks,Warsaw,MalPatSaj_wikipedia
PZU,Financials,Full line insurance,Warsaw,MalPatSaj_wikipedia
Pronar,Consumer goods,Machinery,Narew,MalPatSaj_wikipedia
PKS,Consumer services,Travel & tourism,Białystok,MalPatSaj_wikipedia
Przewozy Regionalne,Consumer services,Travel & tourism,Warsaw,MalPatSaj_wikipedia
PSE (Polskie Sieci Elektroenergetyczne),Utilities,Conventional electricity,Konstancin-Jeziorna,MalPatSaj_wikipedia
Pudliszki,Food Products,Fruit and vegetable processing,Pudliszki,MalPatSaj_wikipedia
Qumak,Technology,Software,Warsaw,MalPatSaj_wikipedia
Smyk Department Store,Consumer services,General retailers,Warsaw,MalPatSaj_wikipedia
Solaris Bus & Coach,Industrials,Commercial vehicles & trucks,Bolechowo,MalPatSaj_wikipedia
Techland,Technology,Software,Wrocław,MalPatSaj_wikipedia
Tele-Fonika Kable,Industrials,Diversified industrials,Bydgoszcz,MalPatSaj_wikipedia
Telewizja Polska,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
T-Mobile Polska,Telecommunications,Mobile telecommunications,Warsaw,MalPatSaj_wikipedia
TVN24,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
